theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
42.5,-1.9375,-0.30417065500245299,-0.30415719437145361,1.3460630999384549e-05,0.0001258405625865766,0.0003729044051653401,0.00051220559875130131,3,0,True
42.5,-1.8125,-0.30355759298173712,-0.30354355362606522,1.4039355671902065e-05,0.0001261795927471887,0.00027486250796684856,0.00041508145638593933,3,1,True
42.5,-1.625,-0.30224208554748744,-0.30222646755062743,1.5617996860006755e-05,0.00012690640608248316,0.0003575753717953198,0.00050009977473780966,3,2,True
42.5,-1.375,-0.29935993827654683,-0.29934287535722859,1.7062919318244774e-05,0.0001284961407823637,0.00032825983639559657,0.00047381889649620505,3,3,True
42.5,-1.125,-0.29435768169516408,-0.29434057089555793,1.7110799606145921e-05,0.00013124446789780642,0.00033501984380695344,0.00048337511131090578,3,4,True
42.5,-0.875,-0.28581849898524059,-0.2858011368193637,1.7362165876888547e-05,0.00013590263667873081,0.00034640144920978339,0.00049966625176540275,3,5,True
42.5,-0.625,-0.27160339358331154,-0.27157982324230301,2.3570341008527507e-05,0.00014354184930742697,0.00036493094581073243,0.00053204313612668691,3,6,True
42.5,-0.375,-0.24872070849084071,-0.24871577530026007,4.9331905806471177e-06,0.00015545594965526988,0.0003775486825392402,0.00053793782277515719,3,7,True
42.5,-0.125,-0.21315787697739341,-0.21311379271266229,4.40842647311257e-05,0.0001727445738410882,0.000609604999628505,0.00082643383820071891,3,8,True
47.5,-1.9375,-0.16909878377370879,-0.16909133450298108,7.4492707277107328e-06,0.00010196863885858498,0.0002962255905707452,0.00040564350015704091,4,0,True
47.5,-1.8125,-0.16874157204435791,-0.16873360342105512,7.9686233027953524e-06,0.00010233976918283538,0.00021838719375687505,0.00032869558624250576,4,1,True
47.5,-1.625,-0.16797222676404755,-0.16796270349307341,9.5232709741432942e-06,0.00010313348517421161,0.00028447372649889244,0.00039713048264724735,4,2,True
47.5,-1.375,-0.16627298158096138,-0.1662609669418896,1.2014639071772359e-05,0.0001048585686822534,0.00026189671089997497,0.00037876991865400073,4,3,True
47.5,-1.125,-0.16327833813798454,-0.16326336599293473,1.4972145049807484e-05,0.00010780887512673587,0.00026832067491604743,0.00039110169509259078,4,4,True
47.5,-0.875,-0.15802914819128877,-0.15800942331901718,1.9724872271587035e-05,0.00011271688210312547,0.00027893572086725159,0.0004113774752419641,4,5,True
47.5,-0.625,-0.14889188539298259,-0.14886477428874753,2.7111104235061356e-05,0.0001205288292926987,0.00029574435301546567,0.00044338428654322573,4,6,True
47.5,-0.375,-0.1330951115794945,-0.13310440146325567,9.2898837611710139e-06,0.00013216813840899455,0.00030694210096933726,0.00044840012313950283,4,7,True
47.5,-0.125,-0.10588526927108566,-0.10583058206593987,5.4687205145786955e-05,0.0001480008455212456,0.00049653953429099366,0.00069922758495802621,4,8,True
52.5,-1.9375,-0.041849055977448257,-0.041846166229051747,2.8897483965104054e-06,0.00014292656445169527,0.00024271160702863426,0.0003885279198768399,5,0,True
52.5,-1.8125,-0.041878341783430084,-0.041874983968353909,3.3578150761756631e-06,0.00014336191891439753,0.00017899644897402067,0.00032571618296459387,5,1,True
52.5,-1.625,-0.041930320562032497,-0.041925158763014052,5.1617990184452123e-06,0.00014429289311768123,0.00023367961141979515,0.00038313430355592159,5,2,True
52.5,-1.375,-0.0419926549676084,-0.041982968436776673,9.6865308317276022e-06,0.0001463167803952281,0.00021616641209162737,0.00037216972331858308,5,3,True
52.5,-1.125,-0.04193438503175595,-0.041917882457736207,1.6502574019743033e-05,0.00014977756134970655,0.00022286225891663601,0.00038914239428608559,5,4,True
52.5,-0.875,-0.041355223544889741,-0.041331016060388283,2.4207484501458099e-05,0.00015553782247557102,0.0002336333470272526,0.00041337865400428172,5,5,True
52.5,-0.625,-0.039090026115629728,-0.039064351824497696,2.5674291132031513e-05,0.00016472557860303105,0.00025003050484051075,0.00044043037457557331,5,6,True
52.5,-0.375,-0.032221014845249085,-0.03223764474864603,1.6629903396944701e-05,0.0001784859956759366,0.00026061068893695863,0.00045572658800983992,5,7,True
52.5,-0.125,-0.014530329244539342,-0.014484997025537266,4.5332219002075513e-05,0.0001973715271481602,0.0004225282655972138,0.00066523201174744956,5,8,True
57.5,-1.9375,0.079857083595115896,0.079869796879269997,1.2713284154100557e-05,0.00013127609507979088,0.0002054251781269602,0.00034941455736085163,6,0,True
57.5,-1.8125,0.079273336512931225,0.07928655551277336,1.3218999842135037e-05,0.00013176961330252368,0.00015157446995710841,0.00029656308310176713,6,1,True
57.5,-1.625,0.078048607311348883,0.078064458712499923,1.5851401151040223e-05,0.00013282191608454674,0.00019851337304438446,0.0003471866902799714,6,2,True
57.5,-1.375,0.075496121966996732,0.075519988329055654,2.3866362058921897e-05,0.00013509574048964357,0.00018487914239847961,0.00034384124494704507,6,3,True
57.5,-1.125,0.071479475843101103,0.07151468825163626,3.5212408535156836e-05,0.00013894062649566497,0.00019222749958930905,0.00036638053462013085,6,4,True
