theta_rad,Qi_direct,Qi_interpolated,abs_interpolation_error_Qi,estimated_error_Qi,spacing,radius,relative_residual,method,generator_sha256
2.2749999999999999,1.6014910467180785,1.6014717295061711,1.9317211907399212e-05,5.5810971022474121e-07,0.050000000000000003,40,1.8657707332503955e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.3250000000000002,1.8220665812953212,1.8220748997124452,8.3184171240091587e-06,5.3815309497551311e-07,0.050000000000000003,40,2.0471791902005308e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.375,2.0706959025196698,2.0706994042561915,3.5017365216383212e-06,5.1995189087605809e-07,0.050000000000000003,40,2.1120214919168319e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.4249999999999998,2.3534830495407029,2.3534849517284409,1.902187737989891e-06,5.0385930627783182e-07,0.050000000000000003,40,2.4234400615285038e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.4750000000000001,2.6783577849773614,2.6783589484799051,1.1635025436440571e-06,4.9081822917074192e-07,0.050000000000000003,40,2.6158343673130654e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.5249999999999999,3.0558142423807935,3.0558149906542447,7.4827345120098698e-07,4.831491495771445e-07,0.050000000000000003,40,1.6238116760400929e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.5750000000000002,3.5000400730345627,3.5000405497703464,4.7673578373874648e-07,4.8629437277014631e-07,0.050000000000000003,40,1.7281923071275612e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.625,4.0307005901202384,4.0307008626830871,2.7256284873544701e-07,5.124528366096115e-07,0.050000000000000003,40,2.1807213392974367e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.6749999999999998,4.6758691567435839,4.6758692527163745,9.5972790603582325e-08,5.8787161982820635e-07,0.050000000000000003,40,2.1490830969870499e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.7250000000000001,5.4770667501420824,5.4770666707694726,7.9372609818051387e-08,7.668004746719248e-07,0.050000000000000003,40,1.3575168300396791e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.7749999999999999,6.4984243327383941,6.498424015826628,3.1691176616277517e-07,1.1570461788679154e-06,0.050000000000000003,40,1.5763481686557495e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.8250000000000002,7.8445262785780905,7.8445255791252997,6.9945279079774991e-07,5.834674752236424e-07,0.050000000000000003,60,1.5336285650451389e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.875,9.6983289400927077,9.6983280909611498,8.4913155795618422e-07,9.0846451250570226e-07,0.050000000000000003,60,1.4357783939136963e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.9249999999999998,12.411602670467474,12.411601286256642,1.3842108312900336e-06,1.8257329283954959e-06,0.050000000000000003,60,1.0599313610133664e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.9750000000000001,16.758233051968059,16.758241974820109,8.9228520501194453e-06,4.6040398764546353e-06,0.050000000000000003,60,1.0981071658350567e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3.0125000000000002,22.231645932646579,22.231642141217513,3.7914290658136451e-06,3.3051398382610842e-06,0.10000000000000001,240,1.0992325512916355e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3.0374999999999996,28.073603908873274,28.073603748312898,1.6056037566158921e-07,3.4002498736640518e-06,0.10000000000000001,240,7.8169259529342748e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3.0625,37.610694822048892,37.610694573361236,2.486876553575712e-07,4.0676262358374515e-06,0.10000000000000001,240,7.4250548179334662e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3.0875000000000004,55.965960613985146,55.965962439430747,1.8254456009003661e-06,8.6485139405567679e-06,0.10000000000000001,240,3.678172140332192e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3.1100000000000003,97.326748454813128,97.326741921509978,6.5333031500358629e-06,3.294957147659261e-05,0.10000000000000001,240,2.8070552800838594e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3.1307963267948966,288.87184380130014,288.87187914660444,3.5345304297607072e-05,0.00014395235399433659,0.10000000000000001,240,7.4355144498619041e-17,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
